fid,tipo,cd_geocodd,nm_municip,cd_geocodb,area_ha,area_km2,densid_pop,nm_subdist,nm_meso,nm_micro,cd_geocodi,cd_geocods,id,SHAPE__Length,nm_bairro,SHAPE__Area,nm_distrit,cd_geocodm
44,URBANO,292740805,SALVADOR, ,2.33407883,2.33408229,462.70862114,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060044,29274080506,51352,880.538529767834, ,23340.791519375,SALVADOR,2927408
45,URBANO,292740805,SALVADOR, ,1.18586102,1.18586278,547.28085705,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060045,29274080506,51353,621.373000337867, ,11858.61124613,SALVADOR,2927408
46,URBANO,292740805,SALVADOR, ,1.25798734,1.25798921,666.93735856,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060046,29274080506,51354,531.975449630693, ,12579.87224375,SALVADOR,2927408
47,URBANO,292740805,SALVADOR, ,1.49136827,1.49137048,533.73726402,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060047,29274080506,51355,624.099681431356, ,14913.687346485,SALVADOR,2927408
48,URBANO,292740805,SALVADOR, ,1.6313323,1.63133472,510.62482056,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060048,29274080506,51356,584.289118052476, ,16313.32422588,SALVADOR,2927408
49,URBANO,292740805,SALVADOR, ,1.0912459,1.09124752,667.12637346,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060049,29274080506,51357,481.98671677531, ,10912.45797487,SALVADOR,2927408
50,URBANO,292740805,SALVADOR, ,1.43951795,1.43952009,598.11600205,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060050,29274080506,51358,751.84419771659, ,14395.176876085,SALVADOR,2927408
51,URBANO,292740805,SALVADOR, ,1.38145534,1.38145739,582.71793763,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060051,29274080506,51359,531.677069133152, ,13814.554408305,SALVADOR,2927408
52,URBANO,292740805,SALVADOR, ,1.31030563,1.31030757,754.78461631,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060052,29274080506,51360,485.349606713989, ,13103.05683993,SALVADOR,2927408
53,URBANO,292740805,SALVADOR, ,1.59005205,1.59005441,420.1114087,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060053,29274080506,51361,694.95927244019, ,15900.518490465,SALVADOR,2927408
54,URBANO,292740805,SALVADOR, ,2.48788302,2.48788672,351.70411612,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060054,29274080506,51362,823.865294417151, ,24878.831417205,SALVADOR,2927408
55,URBANO,292740805,SALVADOR, ,1.99868489,1.99868786,298.19563753,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060055,29274080506,51363,566.770074481158, ,19986.84989782,SALVADOR,2927408
56,URBANO,292740805,SALVADOR, ,2.19400899,2.19401225,467.1806186,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060056,29274080506,51364,804.44484067269, ,21940.09369912,SALVADOR,2927408
57,URBANO,292740805,SALVADOR, ,3.56674799,3.56675329,244.48004339,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060057,29274080506,51365,1124.31299589748, ,35667.46736324,SALVADOR,2927408
58,URBANO,292740805,SALVADOR, ,5.9200362,5.920045,68.74947742,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060058,29274080506,51366,1062.78223986285, ,59200.366106225,SALVADOR,2927408
59,URBANO,292740805,SALVADOR, ,4.42456459,4.42457116,124.98386385,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060059,29274080506,51367,1043.50931854943, ,44245.65188764,SALVADOR,2927408
60,URBANO,292740805,SALVADOR, ,8.94109589,8.94110919,92.15858825,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060060,29274080506,51368,1646.64272301033, ,89410.964422525,SALVADOR,2927408
